DEBUG   |170522 17:24:12| -- Resetting Akeeba Engine factory (backend.id6)
DEBUG   |170522 17:24:12|Fetching filter data from database
DEBUG   |170522 17:24:12|Loading filters
DEBUG   |170522 17:24:12|-- Loading filter Directories
DEBUG   |170522 17:24:12|-- Loading filter Extradirs
DEBUG   |170522 17:24:12|-- Loading filter Files
DEBUG   |170522 17:24:12|-- Loading filter Incremental
DEBUG   |170522 17:24:12|-- Loading filter Multidb
DEBUG   |170522 17:24:12|-- Loading filter Regexdirectories
DEBUG   |170522 17:24:12|-- Loading filter Regexfiles
DEBUG   |170522 17:24:12|-- Loading filter Regexskipdirs
DEBUG   |170522 17:24:12|-- Loading filter Regexskipfiles
DEBUG   |170522 17:24:12|-- Loading filter Regextabledata
DEBUG   |170522 17:24:12|-- Loading filter Regextables
DEBUG   |170522 17:24:12|-- Loading filter Skipdirs
DEBUG   |170522 17:24:12|-- Loading filter Skipfiles
DEBUG   |170522 17:24:12|-- Loading filter Tabledata
DEBUG   |170522 17:24:12|-- Loading filter Tables
DEBUG   |170522 17:24:12|-- Loading filter Cvsfolders
DEBUG   |170522 17:24:12|-- Loading filter Excludefiles
DEBUG   |170522 17:24:12|-- Loading filter Excludefolders
DEBUG   |170522 17:24:12|-- Loading filter Excludetabledata
DEBUG   |170522 17:24:12|-- Loading filter Joomlaskipdirs
DEBUG   |170522 17:24:12|-- Loading filter Joomlaskipfiles
DEBUG   |170522 17:24:12|-- Loading filter Libraries
DEBUG   |170522 17:24:12|-- Loading filter Sitedb
DEBUG   |170522 17:24:12|-- Loading filter Siteroot
DEBUG   |170522 17:24:12|-- Loading filter Systemcachefiles
DEBUG   |170522 17:24:12|Loading optional filters
DEBUG   |170522 17:24:12|-- Loading optional filter Stack\StackErrorlogs
DEBUG   |170522 17:24:12|-- Loading optional filter Stack\StackHoststats
DEBUG   |170522 17:24:12|-- Loading optional filter Stack\StackFinder
DEBUG   |170522 17:24:12|-- Loading optional filter Stack\StackMyjoomla
DEBUG   |170523 12:08:00| -- Resetting Akeeba Engine factory (backend.id7)
DEBUG   |170523 12:08:00|Fetching filter data from database
DEBUG   |170523 12:08:00|Loading filters
DEBUG   |170523 12:08:00|-- Loading filter Directories
DEBUG   |170523 12:08:00|-- Loading filter Extradirs
DEBUG   |170523 12:08:00|-- Loading filter Files
DEBUG   |170523 12:08:00|-- Loading filter Incremental
DEBUG   |170523 12:08:00|-- Loading filter Multidb
DEBUG   |170523 12:08:00|-- Loading filter Regexdirectories
DEBUG   |170523 12:08:00|-- Loading filter Regexfiles
DEBUG   |170523 12:08:00|-- Loading filter Regexskipdirs
DEBUG   |170523 12:08:00|-- Loading filter Regexskipfiles
DEBUG   |170523 12:08:00|-- Loading filter Regextabledata
DEBUG   |170523 12:08:00|-- Loading filter Regextables
DEBUG   |170523 12:08:00|-- Loading filter Skipdirs
DEBUG   |170523 12:08:00|-- Loading filter Skipfiles
DEBUG   |170523 12:08:00|-- Loading filter Tabledata
DEBUG   |170523 12:08:00|-- Loading filter Tables
DEBUG   |170523 12:08:00|-- Loading filter Cvsfolders
DEBUG   |170523 12:08:00|-- Loading filter Excludefiles
DEBUG   |170523 12:08:00|-- Loading filter Excludefolders
DEBUG   |170523 12:08:00|-- Loading filter Excludetabledata
DEBUG   |170523 12:08:00|-- Loading filter Joomlaskipdirs
DEBUG   |170523 12:08:00|-- Loading filter Joomlaskipfiles
DEBUG   |170523 12:08:00|-- Loading filter Libraries
DEBUG   |170523 12:08:00|-- Loading filter Sitedb
DEBUG   |170523 12:08:00|-- Loading filter Siteroot
DEBUG   |170523 12:08:00|-- Loading filter Systemcachefiles
DEBUG   |170523 12:08:00|Loading optional filters
DEBUG   |170523 12:08:00|-- Loading optional filter Stack\StackErrorlogs
DEBUG   |170523 12:08:00|-- Loading optional filter Stack\StackHoststats
DEBUG   |170523 12:08:00|-- Loading optional filter Stack\StackFinder
DEBUG   |170523 12:08:00|-- Loading optional filter Stack\StackMyjoomla
DEBUG   |170524 15:45:22| -- Resetting Akeeba Engine factory (backend.id8)
